DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude,Emission_Level
UNO CHICAGO GRILL,432,COLUMBUS AVENUE,10024,Pizza,40.783054181605,-73.974683454831,Low
RAKU JAPANESE,57,WEST   76 STREET,10023,Japanese,40.779615286152,-73.975988261741,Medium
THE TANG,920,AMSTERDAM AVENUE,10025,Chinese,40.799858088363,-73.966142142988,Medium
ROSA MEXICANO,61,COLUMBUS AVENUE,10023,Mexican,40.771195679299,-73.983327498748,High
STARBUCKS,77,WEST   66 STREET,10023,Coffee/Tea,40.773240108977,-73.98069136319,Low
METRO DINER,2641,BROADWAY,10025,American,40.797306507192,-73.969856325976,High
SUSHI W,2673,BROADWAY,10025,Japanese,40.798275216375,-73.969151583865,Medium
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,,W 79 STREET,10024,American,,,High
UNO CHICAGO GRILL,432,COLUMBUS AVENUE,10024,Pizza,40.783054181605,-73.974683454831,Low
LITTLE ITALY PIZZA,2047,BROADWAY,10023,Pizza,40.777634732869,-73.982379882195,Low
PIZZA HUT,940,COLUMBUS AVENUE,10025,Pizza,40.799387691042,-73.962765289762,Low
PANERA BREAD,2333,BROADWAY,10024,Sandwiches,40.787435344698,-73.977256577742,High
PIZZA HUT,940,COLUMBUS AVENUE,10025,Pizza,40.799387691042,-73.962765289762,Low
COMMON ADDRESS,305,WEST   60 STREET,10023,Coffee/Tea,40.772610081859,-73.990941490397,Low
ARTISAN CAFE,608A,AMSTERDAM AVENUE,10024,Coffee/Tea,40.789902048754,-73.973406035022,Low
TROPICAL SENSATION,953,AMSTERDAM AVENUE,10025,Latin American,40.800928298588,-73.965332520076,High
LA TRAVIATA PIZZA,101,WEST   68 STREET,10023,Pizza,40.774941885447,-73.980860562919,Low
THE HALAL GUYS,720,AMSTERDAM AVENUE,10025,Middle Eastern,40.793477823804,-73.970793455791,Medium
PLANTSHED,555,COLUMBUS AVENUE,10024,Coffee/Tea,40.786992226441,-73.971789388898,Low
OLLIE'S CHINESE RESTAURANT,2705,BROADWAY,10025,Chinese,40.799318027352,-73.968439562181,Medium
CURRY KING,942,COLUMBUS AVENUE,10025,Pakistani,40.799439828364,-73.962725529944,Medium
ANAR,935,AMSTERDAM AVENUE,10025,Indian,40.800272448983,-73.965816859269,Medium
THE TANG,920,AMSTERDAM AVENUE,10025,Chinese,40.799858088363,-73.966142142988,Medium
CURRY KING,942,COLUMBUS AVENUE,10025,Pakistani,40.799439828364,-73.962725529944,Medium
